"","algo_title","mean_percent"
"1","사칙연산",63.67
"2","조합론",59.3
"3","구성적",54.6
"4","구현",53.67
"5","수학",51.71
"6","시뮬레이션",50.8
"7","브루트포스 알고리즘",50.71
"8","정렬",50.4
"9","문자열",48.83
"10","그리디 알고리즘",48.62
"11","누적 합",48.01
"12","비트마스킹",47.95
"13","백트래킹",47.23
"14","깊이 우선 탐색",46.37
"15","최대 유량",46.15
"16","트리에서의 다이나믹 프로그래밍",46.03
"17","분리 집합",45.7
"18","정수론",45.59
"19","기하학",44.6
"20","트리",43.86
"21","자료 구조",43.76
"22","그래프 탐색",43.65
"23","다이나믹 프로그래밍",43.58
"24","그래프 이론",43.43
"25","세그먼트 트리",43.33
"26","스위핑",42.6
"27","다익스트라",42.45
"28","너비 우선 탐색",41.79
"29","이분 탐색",41.17
"30","분할 정복",40.59
